cylinders,displacement,horsepower,weight,acceleration,model year,origin,mpg
8.0,1.5028624430023265,1.5924257083656193,0.8388135037398264,-1.488697419189394,70.0,1,15.0
8.0,1.19554475347749,1.1998347390456383,0.5371906421530176,-1.6708856725790104,70.0,1,18.0
8.0,1.0610932643103739,1.1998347390456383,0.5336697527181521,-1.3065091657997776,70.0,1,16.0
8.0,1.0418859087150718,0.9381074261656509,0.5524478297041013,-1.8530739259686266,70.0,1,17.0
8.0,2.2615529890167667,2.4561258408695776,1.5993256216707683,-2.035262179358243,70.0,1,15.0
8.0,2.501644933958045,3.0319259292055496,1.6145828092218522,-2.3996386861374757,70.0,1,14.0
8.0,2.367193444790929,2.901062272765556,1.5652903571337355,-2.581826939527092,70.0,1,14.0
8.0,1.887009554908372,2.2467439905655877,1.0230733841644526,-2.581826939527092,70.0,1,15.0
8.0,1.406825665025815,1.4615620519256256,0.7402285995635932,-2.764015192916708,70.0,1,14.0
8.0,1.9830463328848835,1.1998347390456383,0.9186203309301104,-2.2174504327478592,70.0,1,15.0
8.0,2.511248611755696,3.1627895856455432,0.1264202080853791,-2.035262179358243,70.0,1,14.0
6.0,0.05270709555700426,-0.18732001921829455,-0.23975229314063004,-0.031191392072463082,70.0,1,18.0
6.0,0.062310773354655395,-0.5013927946742794,-0.4592210679139112,0.15099686131715326,70.0,1,21.0
4.0,-0.926868039803412,-0.4228746008102831,-0.9955698918250848,-0.3955678988516958,70.0,3,27.0
4.0,-0.926868039803412,-1.5221293149062298,-1.341790686253523,1.7906911418237004,70.0,2,26.0
4.0,-0.8020202284339473,-0.44904733209828185,-0.35946253392605615,0.6975616214860023,70.0,2,25.0
4.0,-0.8308312618269007,-0.3705291382342857,-0.6434809483385375,-0.3955678988516958,70.0,2,24.0
4.0,-0.8596422952198541,-0.239665481794292,-0.7080305879777379,0.6975616214860023,70.0,2,25.0
8.0,1.598899220978838,2.901062272765556,1.9209001900551481,-0.5777561522413122,70.0,1,10.0
8.0,1.0899042977033273,2.508471303445575,1.6404026650775323,-0.21337964546207944,70.0,1,10.0
8.0,1.19554475347749,2.7701986163255623,1.647444443947263,-0.7599444056309286,70.0,1,11.0
8.0,1.0610932643103739,2.325262184429584,2.0582148780149017,1.061938128265235,70.0,1,9.0
4.0,-0.926868039803412,-0.4228746008102831,-0.9955698918250848,-0.3955678988516958,71.0,3,27.0
4.0,-0.513909894504413,-0.3705291382342857,-0.8383034970677603,-0.031191392072463082,71.0,1,28.0
4.0,-0.7732091950409938,-0.239665481794292,-0.880554170286146,-0.5777561522413122,71.0,3,25.0
6.0,0.36962846287949186,-0.10880182535429835,-0.4040604667676854,-0.9421326590205449,71.0,1,19.0
6.0,0.3024027182959339,0.02206183108569531,0.5407115315878831,-0.031191392072463082,71.0,1,16.0
6.0,0.5424946632372125,-0.10880182535429835,0.41161225230948234,-0.031191392072463082,71.0,1,17.0
6.0,0.36962846287949186,-0.10880182535429835,0.36349343003298756,-0.031191392072463082,71.0,1,18.0
8.0,1.5028624430023265,1.5924257083656193,1.4444064865366875,-1.3065091657997776,71.0,1,14.0
8.0,1.9830463328848835,1.8541530212456065,1.7436820885002526,-1.488697419189394,71.0,1,14.0
8.0,1.5124661207999777,1.2783529329096346,1.3798568468974872,-0.7599444056309286,71.0,1,14.0
8.0,1.19554475347749,1.1998347390456383,1.3117863178234215,-0.9421326590205449,71.0,1,14.0
8.0,1.819783810324814,1.9850166776856002,2.3199343260065683,-1.488697419189394,71.0,1,12.0
8.0,1.9830463328848835,1.723289364805613,2.0746456953776073,-1.3065091657997776,71.0,1,13.0
8.0,1.9830463328848835,1.8541530212456065,2.5370558411566058,-1.3065091657997776,71.0,1,13.0
6.0,0.6193240856184216,0.15292548752568896,-0.019109888555727105,-0.7599444056309286,71.0,1,18.0
6.0,0.5424946632372125,-0.10880182535429835,0.3564516511632566,-0.21337964546207944,71.0,1,19.0
6.0,0.5424946632372125,-0.4228746008102831,0.18862258810133578,-0.3955678988516958,71.0,1,18.0
4.0,-0.7443981616480403,-0.3705291382342857,-1.0037853005064377,-0.5777561522413122,71.0,2,28.0
4.0,-1.0997342401611327,-0.8939837639942604,-1.0612931612759071,1.4263146350444678,71.0,2,30.0
4.0,-1.0133011399822724,-0.7369473762662679,-1.0718558295805034,-0.3955678988516958,71.0,2,30.0
4.0,-1.176563662542342,-1.024847420434254,-1.414555734574076,1.2441263816548513,71.0,3,31.0
4.0,-1.1669599847446908,-0.9201564952822591,-1.602336504433568,0.8797498748756186,71.0,3,35.0
4.0,-0.926868039803412,-1.1557110768742476,-1.3429643160651448,1.2441263816548513,71.0,2,27.0
4.0,-0.9844901065893189,-0.8939837639942604,-1.200955108858904,1.7906911418237004,71.0,1,26.0
4.0,-0.7732091950409938,-0.239665481794292,-0.8218726797050548,-0.031191392072463082,72.0,3,24.0
4.0,-0.9220662009045865,-0.6322564511142731,-1.0002644110715722,0.515373368096386,72.0,1,25.0
4.0,-0.926868039803412,-1.3127474646022401,-0.8500397951839785,2.8838206621613987,72.0,2,23.0
4.0,-0.513909894504413,-0.3705291382342857,-0.6693008041942177,1.4263146350444678,72.0,1,20.0
4.0,-0.6867760948621335,-0.4752200633862806,-0.8829014299093897,0.33318511470676965,72.0,1,21.0
8.0,1.5028624430023265,1.5924257083656193,1.520692424292106,-1.3065091657997776,72.0,1,13.0
8.0,1.9830463328848835,1.8541530212456065,1.6509653333821286,-1.3065091657997776,72.0,1,14.0
8.0,1.19554475347749,1.1998347390456383,1.3575578804766726,-0.7599444056309286,72.0,1,15.0
8.0,1.5124661207999777,1.2783529329096346,1.3505161016069416,-0.9421326590205449,72.0,1,14.0
8.0,1.0610932643103739,1.1998347390456383,0.8141672776957681,-1.488697419189394,72.0,1,17.0
8.0,2.2615529890167667,2.717853153749565,1.942025526664341,-1.6708856725790104,72.0,1,11.0
8.0,1.5028624430023265,1.330698395485632,1.7882800213418821,-0.7599444056309286,72.0,1,13.0
8.0,1.5028624430023265,1.4615620519256256,1.7342930500072782,-0.7599444056309286,72.0,1,12.0
8.0,1.9830463328848835,2.2467439905655877,1.694389636412136,-1.1243209124101612,72.0,1,13.0
3.0,-1.1861673403399928,-0.18732001921829455,-0.7608439295007199,-0.7599444056309286,72.0,3,19.0
8.0,1.0610932643103739,1.1998347390456383,1.0723658362525692,-1.1243209124101612,72.0,1,15.0
8.0,1.0899042977033273,0.6763801132856636,1.3141335774466651,-0.5777561522413122,72.0,1,13.0
8.0,1.0418859087150718,0.9381074261656509,1.5441650205245425,0.15099686131715326,72.0,1,13.0
8.0,1.19554475347749,1.1998347390456383,1.2894873514026068,-0.5777561522413122,72.0,1,14.0
4.0,-0.6963797726597847,0.20527095010168644,-0.05314515309276,-0.3955678988516958,72.0,2,18.0
4.0,-0.6963797726597847,-0.7369473762662679,-0.5484169335971698,0.8797498748756186,72.0,2,22.0
4.0,-0.7059834504574358,-0.44904733209828185,0.0008418182418439084,1.4263146350444678,72.0,2,21.0
4.0,-0.9364717176010632,-0.9201564952822591,-0.9263257329393971,0.8797498748756186,72.0,2,26.0
4.0,-0.6867760948621335,-0.4752200633862806,-0.6845579917453014,0.15099686131715326,72.0,1,22.0
