实际值	预测值
1	1.0016956
1	1.1118615
1	1.1214985
1	0.9929293
1	1.0755152
1	1.0000702
1	0.9940643
1	1.001716
1	1.0004467
1	0.99704653
1	1.0668598
1	1.0093588
1	0.9942068
1	0.9211173
1	1.0005827
1	1.0008589
1	1.1362561
1	0.9479437
1	1.0040952
1	1.0027953
1	0.9836669
1	1.001169
1	0.95682293
1	1.036511
1	0.99859977
1	0.99826586
1	1.0018696
1	0.9231103
1	0.9937458
1	0.9733053
1	1.2058938
1	0.9943513
1	0.9990064
1	0.9887258
1	1.0032687
1	1.046931
1	0.99132675
1	0.96423626
1	1.0212251
1	0.9970585
1	1.0007052
1	0.99992365
1	1.0021044
1	1.0510117
1	0.9772229
2	1.206373
1	1.0011512
1	0.95064604
1	1.0047486
1	1.020793
1	0.99187285
1	0.99198115
1	0.99576944
1	0.9971467
1	0.9983665
1	0.9986324
1	0.97951174
1	1.0026408
2	1.3339977
1	0.9974228
1	0.9989036
1	0.9999271
1	0.9055391
1	1.0002261
